field_1,Join2,GISJOIN,County,Tract,CensusYEAR,STATEA,COUNTY_1,COUNTYA,TRACTA,Census_ID,Total_Resid,OnlyEnglis,Spanish,French,FrenchCreo,Italian,Portuguese,German,Yiddish,OtherWGerm,Scandinavi,Greek,Russian,Polish,SerboCroat,OtherSlavi,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndoE,Chinese,Japanese,Korean,MonKhmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacIs,Navajo,OtherAmerI,Hungarian,Arabic,Hebrew,African,OtherOther,P_English,P_Spanish,P_French,P_FrenchCr,P_Italian,P_Portugue,P_German,P_Yiddish,P_OtherWGe,P_Scandina,P_Greek,P_Russian,P_Polish,P_SerboCro,P_OtherSla,P_Armenian,P_Persian,P_Gujarati,P_Hindi,P_Urdu,P_OtherInd,P_OtherI_1,P_Chinese,P_Japanese,P_Korean,P_MonKhmer,P_Hmong,P_Thai,P_Laotian,P_Vietname,P_OtherAsi,P_Tagalog,P_OtherPac,P_Navajo,P_OtherAme,P_Hungaria,P_Arabic,P_Hebrew,P_African,P_OtherOth,LanguageCo
"251","36061001800",G3600610001800,"61","1800","2010","36",Manhattan,"61","1800","Census Tract 18, Manhattan","7871","2594","722","198","0","0","0","37","0","0","0","12","61","33","0","0","0","0","0","0","0","16","13","3956","46","16","0","0","0","0","46","35","0","67","0","0","0","0","19","0","0",0.33,0.09,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0,0,"0",0,0,0.01,0,0,0.01,"0",0,0,0,0,0,0,"4"
"252","36061017900",G3600610017900,"61","17900","2010","36",Manhattan,"61","17900","Census Tract 179, Manhattan","8891","6896","747","176","11","36","86","124","0","52","0","94","27","15","0","0","0","118","0","0","0","77","0","85","111","43","0","0","0","0","0","0","51","0","0","0","13","0","129","0","0",0.78,0.08,0.02,0,0,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0,0.01,0,0.01,0.01,0,0,"0",0,0,0,0,0.01,0,"0",0,0,0,0.01,0,0,"3"
"253","36061001002",G3600610001002,"61","1002","2010","36",Manhattan,"61","1002","Census Tract 10.02, Manhattan","6278","1883","3506","14","22","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0.3,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0,0,0,"3"
"254","36061004700",G3600610004700,"61","4700","2010","36",Manhattan,"61","4700","Census Tract 47, Manhattan","2316","1725","178","66","0","128","0","58","0","39","0","15","22","4","0","0","0","0","0","0","0","0","0","10","39","0","0","0","0","0","0","0","0","0","0","0","16","0","16","0","0",0.74,0.08,0.03,0,0.06,0,0.03,0,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,"0",0,0,0,0,0,0,"0",0,0.01,0,0.01,0,0,"7"
"255","36061014500",G3600610014500,"61","14500","2010","36",Manhattan,"61","14500","Census Tract 145, Manhattan","6008","4483","482","146","0","70","0","82","33","0","15","13","0","18","0","50","9","0","31","18","13","0","0","190","87","95","16","0","0","0","37","0","67","0","0","0","0","0","53","0","0",0.75,0.08,0.02,0,0.01,0,0.01,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.03,0.01,0.02,0,"0",0,0,0.01,0,0.01,0,"0",0,0,0,0.01,0,0,"5"
"256","36061004800",G3600610004800,"61","4800","2010","36",Manhattan,"61","4800","Census Tract 48, Manhattan","6466","4777","399","183","0","65","2","17","16","12","35","0","27","0","61","0","0","13","15","44","29","0","81","116","188","217","0","0","0","0","13","14","30","0","0","0","16","15","58","12","11",0.74,0.06,0.03,0,0.01,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0.02,0.03,0.03,0,"0",0,0,0,0,0,0,"0",0,0,0,0.01,0,0,"6"
"257","36061002800",G3600610002800,"61","2800","2010","36",Manhattan,"61","2800","Census Tract 28, Manhattan","6776","4080","1923","25","0","0","0","3","0","0","0","0","10","0","40","0","0","0","0","0","0","120","0","326","69","0","0","0","0","0","0","47","18","20","0","0","0","10","6","79","0",0.6,0.28,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0.05,0.01,0,0,"0",0,0,0,0.01,0,0,"0",0,0,0,0,0.01,0,"4"
"258","36061005900",G3600610005900,"61","5900","2010","36",Manhattan,"61","5900","Census Tract 59, Manhattan","5051","4201","179","84","0","10","0","12","17","21","55","54","51","0","0","0","0","0","0","0","0","18","0","168","14","52","0","0","0","0","0","30","58","17","0","0","0","0","10","0","0",0.83,0.04,0.02,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0,"0",0,0,0,0.01,0.01,0,"0",0,0,0,0,0,0,"4"
"259","36061005700",G3600610005700,"61","5700","2010","36",Manhattan,"61","5700","Census Tract 57, Manhattan","2473","2166","40","47","0","40","0","32","0","0","0","22","24","0","0","0","0","0","0","0","12","0","0","23","26","12","0","0","0","0","0","10","0","0","0","0","0","0","19","0","0",0.88,0.02,0.02,0,0.02,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,"0",0,0,0,0,0,0,"0",0,0,0,0.01,0,0,"4"
"260","36061003602",G3600610003602,"61","3602","2010","36",Manhattan,"61","3602","Census Tract 36.02, Manhattan","2268","1733","278","38","0","0","0","56","9","0","0","19","0","0","0","0","0","0","0","26","0","0","17","9","41","16","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0",0.76,0.12,0.02,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.02,0.01,0,"0",0,0,0,0,0,0,"0",0,0,0,0.01,0,0,"5"
